Currently,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,,,C,M,T,W,Xm,Xw,Y,Tot,,days,per day,
16-May,M06,0,1,0,0,0,0,0,13-Jun,,June 16,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,M04,0,1,0,0,0,0,0,7-Jul,,18-June,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-May,M17,0,1,0,0,0,0,0,19-Jun,,20-Jun,20-Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-June,T06,0,0,1,0,0,0,0,13-Jul,,20-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Jun,XM17,0,0,0,0,1,0,0,13-Jul,,21-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,C03,1,0,0,0,0,0,0,22-Jun,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
23-May,C11,1,0,0,0,0,0,0,20-Jul,,22-Jun,22-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-May,M12,0,1,0,0,0,0,0,20-Jul,,22-June,22-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,M12,0,1,0,0,0,0,0,20-Jul,,22-Jun,22-Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,M19,0,1,0,0,0,0,0,6-Jul,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
13-Jun,M26,0,1,0,0,0,0,0,20-Jul,,22-Jun,22-Jun,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,Y01,0,0,0,0,0,0,1,6-Jul,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,Y09,0,0,0,0,0,0,1,6-Jul,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,Y18,0,0,0,0,0,0,1,22-Jun,,22-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,M13,0,1,0,0,0,0,0,6-Jul,,27-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,M27,0,1,0,0,0,0,0,6-Jul,,27-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-June,T05,0,0,1,0,0,0,0,25-Jul,,27-Jun,27-June,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,Y03,0,0,0,0,0,0,1,6-Jul,,27-Jun,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-May,Y14,0,0,0,0,0,0,1,22-Jun,,3-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,Y14,0,0,0,0,0,0,1,25-Jul,,3-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,Y06,0,0,0,0,0,0,1,1-Aug,,4-Jul,4-July,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,Y07,0,0,0,0,0,0,1,4-Jul,,4-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M18,0,1,0,0,0,0,0,20-Jul,,5-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,C04,1,0,0,0,0,0,0,3-Aug,,6-Jul,6-July,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,W02,0,0,0,1,0,0,0,6-Jul,,6-July,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M04,0,1,0,0,0,0,0,17-Aug,,9-Jul,20-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jul,W14,0,0,0,1,0,0,0,3-Aug,,9-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
03-July,Y01,0,0,0,0,0,0,1,31-Jul,,9-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,Y13,0,0,0,0,0,0,1,25-Jul,,10-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Jun,W05,0,0,0,1,0,0,0,13-Jul,,11-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,C01,1,0,0,0,0,0,0,6-Jul,,13-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
14-Jun,M09,0,1,0,0,0,0,0,12-Jul,,13-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,M11,0,1,0,0,0,0,0,13-Jun,,13-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,W12,0,0,0,1,0,0,0,4-Jul,,13-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,Y06,0,0,0,0,0,0,1,1-Aug,,15-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-June,W10,0,0,0,1,0,0,0,15-Aug,,18-Jul,18-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,W17,0,0,0,1,0,0,0,8-Aug,,18-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M12,0,1,0,0,0,0,0,17-Aug,,20-Jul,20-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M26,0,1,0,0,0,0,0,17-Aug,,20-Jul,20-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,Y11,0,0,0,0,0,0,1,17-Aug,,20-Jul,20-July,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,Y09,0,0,0,0,0,0,1,19-Aug,,22-Jul,22-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,C13,1,0,0,0,0,0,0,17-Aug,,23-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,C22,1,0,0,0,0,0,0,17-Aug,,23-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,M06,0,1,0,0,0,0,0,17-Aug,,23-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
13-Jun,T02,0,0,1,0,0,0,0,22-Aug,,25-Jul,25-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,Y15,0,0,0,0,0,0,1,22-Aug,,25-Jul,25-Jul,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
29-Jun,M03,0,1,0,0,0,0,0,27-Jul,,27-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,Y09,0,0,0,0,0,0,1,20-Jul,,27-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
19-Jul,XM04,0,0,0,0,1,0,0,16-Aug,,30-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,XM08,0,0,0,0,1,0,0,6-Jul,,31-Jul,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,M10,0,1,0,0,0,0,0,29-Aug,,1-Aug,1-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
23-Jul,M32,0,1,0,0,0,0,0,20-Aug,,1-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,T05,0,0,1,0,0,0,0,25-Jul,,1-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,W08,0,0,0,1,0,0,0,6-Aug,,1-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,XW04,0,0,0,0,0,1,0,29-Aug,,1-Aug,1-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,M32,0,1,0,0,0,0,0,29-Aug,,2-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,C30,1,0,0,0,0,0,0,24-Aug,,3-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,W12,0,0,0,1,0,0,0,24-Aug,,3-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-Jul,W14,0,0,0,1,0,0,0,13-Aug,,3-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-July,M18,0,1,0,0,0,0,0,3-Aug,,5-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-July,W02,0,0,0,1,0,0,0,3-Aug,,5-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
6-July,C04,1,0,0,0,0,0,0,4-Sep,,7-Aug,7-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
20-Jun,M17,0,1,0,0,0,0,0,18-Jul,,7-Aug,7-Aug,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,C15,1,0,0,0,0,0,0,15-Aug,,8-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
13-Jun,T09,0,0,1,0,0,0,0,11-Jul,,8-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,C27,1,0,0,0,0,0,0,8-Aug,,9-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
3-Aug,C34,1,0,0,0,0,0,0,31-Aug,,10-Aug,,,Associated contact data and Lock number    ,,,Lock 72    combo 1209,,,,,,,,,,,,,,,,,,,,
8-Jun,M16,0,1,0,0,0,0,0,6-Jul,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
16-May,W04,0,0,0,1,0,0,0,13-Jun,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,W05,0,0,0,1,0,0,0,8-Aug,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,W06,0,0,0,1,0,0,0,6-Jul,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Jun,W07,0,0,0,1,0,0,0,13-Jul,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,W19,0,0,0,1,0,0,0,15-Aug,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,Y15,0,0,0,0,0,0,1,22-Aug,,14-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,Y16,0,0,0,0,0,0,1,8-Aug,,10-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,M07,0,1,0,0,0,0,0,25-Jul,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,M20,0,1,0,0,0,0,0,25-Jul,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
27-June,T04,0,0,1,0,0,0,0,25-Jul,,15-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
