,,,Avail (I),Rep (K),Test ( P),Loan O,Hold,Scrap,MIA  s,Given,,Repair,,Test,,Loan,,Hold,,Scrap,,MIA,,GIVEN,,,,,
M33,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C13,L
M34,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C15,L
M35,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C17,L
T01,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C18,L
T02,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C20,L
T03,R,,,R,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C21,L
T04,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C23,L
T05,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C24,L
T06,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C27,L
T07,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C34,L
T08,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M01,L
T09,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M02,L
T10,R,,,R,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M03,L
T11,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M04,L
T12,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M06,L
T13,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M07,L
W01,R,,,R,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M10,L
W02,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M11,L
W03,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M13,L
W04,M,,,,,,,,M,,,,R,,T,,L,0,H,,S,,M,,G,,,M17,L
W05,R,,,R,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M18,L
W06,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M19,L
W07,M,,,,,,,,M,,,,R,,T,,L,0,H,,S,,M,,G,,,M21,L
W08,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M22,L
W09,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M25,L
W10,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M26,L
W11,R,,,R,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M32,L
W12,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,T02,L
W13,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,T11,L
W14,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W02,L
W15,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W03,L
W16,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W08,L
W17,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W09,L
W18,S,,,,,,,S,,,,T03,R,,T,,L,0,H,,S,,M,,G,,,W10,L
W19,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W12,L
XM01,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W13,L
XM02,LH,,,,,L,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W16,L
XM03,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W17,L
XM04,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,XM03,L
XM05,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,XM07,L
XM06,H,,,,,,H,,,,,,R,,T,Err:508,L,0,H,,S,,M,,G,,,XM08,L
XM07,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,XM11,L
XM08,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y02,L
XM09,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y04,L
XM10,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y05,L
XM11,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y06,L
XM13,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y08,L
XM14,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y09,L
XM15,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y10,L
XM16,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y11,L
XM17,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y12,L
XM18,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y13,L
XM19,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y16,L
XM20,A,,A,,,,,,,,,C10,R,,T,,L,0,H,,S,,M,,G,,,Y17,L
XW01,H,,,,,,H,,,,,T10,R,,T,,L,0,H,,S,,M,,G,,,M05,M
XW02,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M14,M
XW03,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W04,M
XW04,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W07,M
XW05,A,,A,,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y15,M
XW06,H,,,,,,H,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y18,M
Y01,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C10,R
Y02,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C14,R
Y03,R,,,R,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C16,R
Y04,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,C35,R
Y05,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M16,R
Y06,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M29,R
Y07,R,,,R,,,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,M30,R
Y08,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,T03,R
Y09,L,,,,,L,,,,,,C35,R,,T,,L,0,H,,S,,M,,G,,,T10,R
Y10,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W01,R
Y11,L,,,,,L,,,,,,W05,R,,T,,L,0,H,,S,,M,,G,,,W05,R
Y12,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,W11,R
Y13,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,Y03,R
Y14,A,,A,,,,,,,,,Err:504,R,,T,,L,0,H,,S,,M,,G,,,Y07,R
Y15,M,,,,,,,,M,,,M30,R,,T,,L,0,H,,S,,M,,G,,,C07,S
Y16,L,,,,,L,,,,,,C14,R,,T,,L,0,H,,S,,M,,G,,,C09,S
Y17,L,,,,,L,,,,,,C16,R,,T,,L,0,H,,S,,M,,G,,,M08,S
Y18,M,,,,,,,,M,,,M16,R,,T,,L,0,H,,S,,M,,G,,,M15,S
Y19,A,,A,,,,,,,,,W01,R,,T,,L,0,H,,S,,M,,G,,,M23,S
Y20,A,,A,,,,,,,,,W11,R,,T,,L,0,H,,S,,M,,G,,,W18,S
,,,,R,T,L,H,S,M,G,,Y03,R,,T,,L,0,H,,S,,M,,G,,,,
