 Bike ID,Bike Brand,Bike Serial Number,Bike Tire Max PSI ,Bike Gears,Bike TIRE SIZE  F_R,Bike Photo Inventory 2018
Y05,Free Spirit   turqoise  ,BC70841355,45,18,24 X 1.95,Y05  Free Spirit turquoise BC70841355  45  24 X 1.95_00001317.jpg
Y08,"blueblack supercycle 24""  ",Snfsd120l9712,45,18,24 X 1.95,Y08  blueblack supercycle Snfsd120l9712  45  24 X 1.95_00000620.jpg
Y07,blueblack supercycle  ,Snfsd12387931,45,18,24 X 1.95,Y07   blueblack supercycle    Snfsd12387931  45  24 X 1.95_00000616.jpg
Y15,Giant turquoise ,002Y2023  ,60,18,24 X 1.95,Y15 turquoise Giant_002Y2023 60 18 24X1.95_115332.jpg
Y02,blue CCM ECCO,HG10834,60,18,24 X 1.95,Y02  blue CCM ECCO  HG10834  60  24 X 1.95_00001656.jpg
Y09,"Purple supercycle 24""  ",L3c0136696,60,18,24 X 1.95,Y09  Purple supercycle L3c0136696  60  24 X 1.95_00000628.jpg
Y20,Carrera Warrior  red grey,SM406283LV,60,18,24 X 1.95,Y20 Carrera Warrior  red grey SM406283LV 60 18 24 X 1.95_153721.jpg
W10,Sportek Reven Black/white ,7B515921LV ,4065,21,24 X 1.95,W10 Sportek Reven Black/white   7B515921LV      24 X 1.95_00000038.jpg
Y11,Raleigh_Hotfoot_grey-yellow,R0900163,45,15,24 X 2.00,Y11_Raleigh_Hotfoot_grey-yellow_R0900163_45_24_X_2.00_20170531_103100.jpg  
Y18,black Triumph,RE438314,45,15,24 X2.0,Y18 black Triumph RE438314 45 15 24 X2.0_125927.jpg
Y14,Velosport 50 mauve,D819755,55,18,24X1.95,Y14Velosport50 mauve D819755 55 24x1.95 18_ 090856.jpg
Y16,Y16 Supercycle SC1800 purple,RB07012435,60,18,24X1.95,Y16 Supercycle SC1800 purple RB07012435 60 18 24 X 1.95
Y03,youth's Bonelli blue white,Y26125099,40,15,24X2 ,Y03  Bonelli blue white  Y26125099  40  24X2 _00001936.jpg
Y17,Grey  CCM ,JD01010,60,18,24X2.1,Y17 GreyCCM JD01010 60 18 24X2.1_155130.jpg
W12,Raleigh Campus blue    ,RH113538,47,5,26 x 1 3/8,W12 WRaleigh blue RH113538  47  26 x 1 3_8_331.jpg
M21,Tempest Tourist Six,6K86272,50,6,26 X 1 3/8,M21 Tempest Tourist Six 6K86272 50 26 X 1 3_8  714_131408.jpg
W03,Bleu\ Voyageur,A940106687,35,12,26 X 1.75,W03 Bleu Voyageur A940106687 35_12 26X1.75_00000200.jpg
W05,white turquoise Supercycle Ascent ,P9A86581,50,15,26 X 1.75,W05SupercycleAscent whturP9A86581 50 15 26 X 1.751.jpg
M20,MountainTour- Turquoise,A9601096,60,null,26 x 1.75, M20 MountainTour- Turquoise A9601096 60  26 x 1.75_144554
W14,Babboe cargo black,GB14E03753,60,7,26 x 1.75 20 x2.1,W14 Babboe cargo blk GB14E0375360726 x 1.75 20 x2.1
M05,Nishiki aqua,F711F974   ,35,18,26 X 1.9,M05  Nishiki aqua  F711F974 35 26 X 1.9_00001725.jpg
M24,Narcos Streamer- Yellow,003489598L,60,,26 X 1.90,M24 NarcosScreamer ylo003489598L 60 26X_1.9.jpg
M19,Burgundy K2,BI1411 U4YY40319,60,7,26 X 1.95,M19   Burgundy K2  BI1411 U4YY40319  60  26 X 1.95_00001947.jpg
M17,Orange - Gary Fisher,00020265S,50,10,26 X 1.95,M17 Orange - Gary Fisher 00020265S 26 X 1.95 50_143434.jpg
W06,Supercycle 1500 Grey   ,A054562,"40,65",15,26 X 1.95,W06  Supercycle 1500 Grey     A054562     26 X 1.95_00000034.jpg
M11,Blueblack supercycle,Snfsd12cn0570,45,18,26 X 1.95,M11   Blueblack supercycle Snfsd12cn0570  45 26 X 1.95_00000626.jpg
W15,Supercycle rose / noir,SNFSD12FD9681,45,18,26 X 1.95,w15  Supercycle_Rose_noir SNFSD12FD9681_45_26 X 1.95_100313jpg
M16,Supercycle SC1800 Blue,LOC0503604,50,18,26 X 1.95, M16 Supercycle SC1800 Blue LOC0503604 50 18 26 X 1.95 110546.jpg
Y10,Silver and blue Supercycle 1800  ,AH14K08492​6,55,18,26 X 1.95,Y10 Silver and blue Supercycle 1800    AH14K08492​6  55  26 X 1.95_00002622
M27,M27 Infinity grey,1CC07C25714,60,18,26 X 1.95,M27 Infinity grey 1CC07C25714 60 18 26x1.95 162857.jpg
M36,Nakamura Circuit silver,G508121095,60,18,26 x 1.95,M36 Nakamura Circuit silver G508121095 60 18 26 x 1.95_121402.jpg
M30,Supercycle SC1800 Blue,RE765891,60,18,26 X 1.95,M30 Supercycle SC1800 Blue RE765891 60 18 26 X 1.95_135809.jpg
M24,Nakamura Circuit silver,G508121095C,60,null,26 X 1.95,M24 NarcosScreamer ylo003489598L 60 26X_1.9.jpg
M02,CCM black  Jeshua,L3c0117220,60,null,26 X 1.95,M02  CCM black    L3c0117220  60  26 X 1.95_00000631.jpg
M32 ,Supercycle vert,MAR0014705,40,7,"26 X 2,125","M32 vert MAR0014705  40 7 26 X 2,125_0794.jpg"
XM16,Opus Ivan grey 81 Nelson,IB0011J02713,60,7,26 X 2.0,XM16 Opus Ivan grey81 Nelson IB0011J02713 60 7 26 X 2.0 _151442.jpg
XM11,Opus Ivan grey 76 Augusta,IC0011H02278,60,7,26 X 2.0,XM11 Opus Ivan grey76 Augusta IC0011H02278 60 7 26 X 2.0
XM18,Opus Ivan grey 83 Russell,IC0611H02265,60,7,26 X 2.0,XM18 Opus Ivan grey 83 Russell IC0611H02265 60 7 26 X 2.0
XM19,Opus Ivan grey 84 Sweetland,IC0611H02287,60,7,26 X 2.0,XM19 Opus Ivan grey 84 Sweetland IC0611H02287 60 7 26 X 2.0
XM17,Opus Ivan grey 82 Range,IC0G11J02715,60,7,26 X 2.0,XM17 Opus Ivan grey82 Range IC0G11J02715 60 7 26 X 2.0
XM13,Opus Ivan grey 78 Besserer,IC0G11J02719,60,7,26 X 2.0,XM13 Opus Ivan grey78 Besserer IC0G11J02719 60 7 26 X 2.0
XM14,Opus Ivan grey 79 Stewart,IC0G11J02725,60,7,26 X 2.0,XM14 Opus Ivan grey79 Stewart IC0G11J02725 60 7 26 X 2.0 151723.jpg
XM15,Opus Ivan grey 80 Chapel,IC0G11J02737,60,7,26 X 2.0,XM15 Opus Ivan grey80 Chapel IC0G11J02737 60 7 26 X 2.0
Y12,Trek Mountain Track white,BI-0415,75,18,26 x 2.0,Y12 Trek Mountain Track white 75 26 x 2.0 BI-0415_00000054.jpg
M06,Violet Venture MountainTour ,Check the seat post,"40,50",18,26 X 2.0,"M06 Violet MountainTour_na_40,50 18 26X2.0_00000210"
XM20,Opus Gris,IC0811HO2305,40,65,26 X 2.0,XM20 Opus gris IC0811HO2305  40 65  26 X 2.0
W02,RedGrey Next,B503000,50,18,26 X 2.00,W02 Redgrey Next B503000 50 26x2.00_131358.jpg
