,Date,Date,Tag # *,C,M,T,W,Xm,Xw,Y,,Wks in Repair,Days in Repair,,,,,,,,,,,,,,
,In Repair,Repaired,,,,,,,,,,,Repaired,Counting,,,,,,,,,,,,,
,9-Apr-18,2-June,Y08,0,0,0,0,0,0,1,,8,54,,,,,,,,,,,,,,
,31-May,4-June,M20,0,1,0,0,0,0,0,,1,4,,,,,,,,,,,,,,
,8-June,8-June,M13,0,1,0,0,0,0,0,,#VALUE!,0,,,,,,,,,,,,,,
,8 June,June 8 18,W01,0,0,0,1,0,0,0,,0,0,,,,,,,,,,,,,,
,1-June,June 8 18,W03,0,0,0,1,0,0,0,,1,7,,,,,,,,,,,,,,
,9-Apr-18,June 8,W05,0,0,0,1,0,0,0,,9,60,,,,,,,,,,,,,,
,9-Apr-18,June 8 18,W26,0,0,0,1,0,0,0,,9,60,,,,,,,,,,,,,,
,8 June,June 8 18,Y05,0,0,0,0,0,0,1,,0,0,,,,,,,,,,,,,,
,8 June,June 8 18,Y13,0,0,0,0,0,0,1,,0,0,,,,,,,,,,,,,,
,8 June,14-June,C10,1,0,0,0,0,0,0,,1,6,,,,,,,,,,,,,,
,13 June,15-June,,0,0,0,0,0,0,0,,0,2,,,,,,,,,,,,,,
,11-May,June 15,C09,1,0,0,0,0,0,0,,5,35,,,,,,,,,,,,,,
,9-Apr-18,15-June,C26,1,0,0,0,0,0,0,,10,67,,,,,,,,,,,,,,
,22-May,15-June,C29,1,0,0,0,0,0,0,,3,24,,,,,,,,,,,,,,
,18-May,June 15,T07,0,0,1,0,0,0,0,,4,28,,,,,,,,,,,,,,
,8 June,June 15,T11,0,0,1,0,0,0,0,,1,7,,,,,,,,,,,,,,
,22-May,June 15,W16,0,0,0,1,0,0,0,,3,24,,,,,,,,,,,,,,
,9-Apr-18,21 June,C05,1,0,0,0,0,0,0,,#VALUE!,73,,,,,,,,,,,,,,
,15-June,June 21,M30,0,1,0,0,0,0,0,,#VALUE!,6,,,,,,,,,,,,,,
,8 June,21-June,XM04,0,0,0,0,1,0,0,,2,13,,,,,,,,,,,,,,
,1-June,22-June,M01,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
,22-June,22-June,T12,0,0,1,0,0,0,0,,0,0,,,,,,,,,,,,,,
,18-May,22-Jun-18,W13,0,0,0,1,0,0,0,,5,35,,,,,,,,,,,,,,
,9-Apr-18,27-June,W14,0,0,0,1,0,0,0,,#VALUE!,,,,,,,,,,,,,,,
,22-June,27-June,XM05,0,0,0,0,1,0,0,,#VALUE!,5,,,,,,,,,,,,,,
,15-June,27-June,Y01,0,0,0,0,0,0,1,,0,12,,,,,,,,,,,,,,
,22-June,27-June,Y18,0,0,0,0,0,0,1,,0,5,,,,,,,,,,,,,,
,8 June,27-June,M27,0,1,0,0,0,0,0,,0,19,,,,,,,,,,,,,,
,7-May,June 29,C11,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,June 13,June 29,C12,1,0,0,0,0,0,0,,#VALUE!,16,,,,,,,,,,,,,,
