"Copy ""Donation""  date, tag # to ""Test Ride""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,HOLDS,,,,,,,,,Date,,Donations,,,,,,,Date,,MIA--one per Row,,,,,,,Date,,Scrap,,,,,,,Date,,Given Away,,,,,,
dd-mm,Tag #,C,M,T,W,Xm,Xw,Y,Rtn,,dd-mm,Tag #,C,M,T,W,Xm,Xw,Y,dd-mm,Tag #,C,M,T,W,Xm,Xw,Y,dd-mm,Tag #,C,M,T,W,Xm,Xw,Y,dd-mm,Tag #,C,M,T,W,Xm,Xw,Y
12-Jun,XM15,0,0,0,0,1,0,0,,,10-Jul,W19,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
12-Jun,XM16,0,0,0,0,1,0,0,,,12-Jun,XM11,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
12-Jun,XM17,0,0,0,0,1,0,0,15-Jun,,12-Jun,XM13,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
12-Jun,XM18,0,0,0,0,1,0,0,,,12-Jun,XM14,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
12-Jun,XM19,0,0,0,0,1,0,0,,,12-Jun,XM15,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
21-Jun,XM17,0,0,0,0,1,0,0,,,12-Jun,XM16,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
22-June,XM04,0,0,0,0,1,0,0,16 July,,12-Jun,XM17,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,C05,1,0,0,0,0,0,0,2-Aug,,12-Jun,XM18,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,C06,1,0,0,0,0,0,0,2-Aug,,12-Jun,XM19,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,C11,1,0,0,0,0,0,0,19-July,,3-May,Y14,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,C13,1,0,0,0,0,0,0,19-July,,18-May,Y15,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,C14,1,0,0,0,0,0,0,19-July,,18-May,Y16,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,c20,1,0,0,0,0,0,0,19-July,,18-May,Y17,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,c26,1,0,0,0,0,0,0,19-July,,18-May,Y18,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,C28,1,0,0,0,0,0,0,2-Aug,,8-Jun,Y19,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,C29,1,0,0,0,0,0,0,2-Aug,,25-Jun,M33,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,C32,1,0,0,0,0,0,0,2-Aug,,18-Jul,C34,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
29-June,C33,1,0,0,0,0,0,0,19-July,,24-Jul,XM20,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
